Date,Open,High,Low,Close,Adj Close,Volume
2010-12-06,10.767500,11.222500,10.680000,11.192500,10.899719,14205200
2010-12-13,11.342500,11.342500,10.807500,11.195000,10.902152,12693200
2010-12-20,11.277500,11.470000,11.017500,11.362500,11.065271,8170800
2010-12-27,11.250000,11.560000,11.125000,11.375000,11.077444,7254800
2011-01-03,11.570000,12.362500,11.555000,12.217500,11.897904,12707200
2011-01-10,12.095000,13.000000,11.995000,12.997500,12.657501,9591600
2011-01-17,12.722500,13.230000,12.122500,12.252500,11.931990,12790400
2011-01-24,12.282500,13.525000,12.197500,12.457500,12.131628,17663200
2011-01-31,12.517500,13.812500,12.297500,13.812500,13.451181,13142000
2011-02-07,13.915000,14.262500,13.525000,14.000000,13.633778,11692400
2011-02-14,14.035000,14.307500,13.755000,14.215000,13.843152,9088400
2011-02-21,13.637500,13.802500,12.215000,13.202500,12.857139,18583200
2011-02-28,13.367500,13.477500,12.492500,13.122500,12.779232,17856000
2011-03-07,13.265000,13.310000,11.540000,11.945000,11.632534,23229600
2011-03-14,11.735000,12.040000,10.250000,10.687500,10.407928,25651600
2011-03-21,11.125000,12.025000,10.730000,11.805000,11.496196,21626400
2011-03-28,11.890000,12.060000,11.405000,11.760000,11.670729,12467600
2011-04-04,11.815000,11.970000,11.402500,11.577500,11.489614,14072800
2011-04-11,11.610000,11.680000,11.007500,11.177500,11.092650,12472800
2011-04-18,10.892500,12.245000,10.462500,12.227500,12.134680,14800400
2011-04-25,12.227500,12.847500,12.162500,12.820000,12.722681,15117200
2011-05-02,12.975000,12.975000,12.112500,12.417500,12.323236,21133200
2011-05-09,12.415000,12.955000,12.200000,12.305000,12.211591,14175200
2011-05-16,12.142500,12.322500,11.215000,11.772500,11.683132,11361200
2011-05-23,11.280000,11.692500,11.047500,11.665000,11.576449,9740400
2011-05-30,11.990000,12.225000,10.860000,10.910000,10.827180,8486000
2011-06-06,10.862500,11.012500,9.837500,9.860000,9.785151,10189200
2011-06-13,9.927500,10.310000,9.312500,9.440000,9.368340,9654800
2011-06-20,9.335000,10.217500,9.325000,9.637500,9.564340,10841600
2011-06-27,9.635000,11.562500,9.582500,11.510000,11.422626,13083600
2011-07-04,11.560000,12.345000,11.427500,12.070000,11.978374,10451200
2011-07-11,11.702500,11.890000,10.697500,11.317500,11.231588,16455200
2011-07-18,11.132500,12.625000,10.887500,12.557500,12.462174,26790400
2011-07-25,12.205000,12.785000,11.022500,11.277500,11.191891,33438400
2011-08-01,11.677500,11.772500,8.252500,9.050000,8.981299,42580400
2011-08-08,8.202500,8.870000,7.190000,8.700000,8.633957,44017600
2011-08-15,8.887500,9.160000,6.645000,6.667500,6.616886,41645600
2011-08-22,7.142500,7.967500,6.682500,7.880000,7.820182,50410000
2011-08-29,8.115000,8.985000,7.610000,7.752500,7.693650,28103600
2011-09-05,7.222500,8.582500,7.090000,7.650000,7.591928,23328400
2011-09-12,7.375000,9.357500,7.375000,9.312500,9.241808,34168400
2011-09-19,8.945000,9.705000,7.612500,8.237500,8.174968,37145200
2011-09-26,8.382500,9.305000,7.672500,7.672500,7.614257,49789600
2011-10-03,7.440000,8.757500,6.717500,8.447500,8.383374,65591600
2011-10-10,8.815000,10.562500,8.802500,10.557500,10.477357,36524400
2011-10-17,10.407500,10.487500,9.087500,9.800000,9.725607,31220800
2011-10-24,9.877500,11.160000,9.475000,11.042500,10.958673,25800000
2011-10-31,10.645000,10.835000,9.457500,10.477500,10.397964,25032000
2011-11-07,10.392500,11.085000,9.575000,10.437500,10.358266,20574400
2011-11-14,10.425000,10.860000,9.307500,9.347500,9.276542,21513200
2011-11-21,8.980000,9.030000,7.917500,7.917500,7.857397,14616400
2011-11-28,8.572500,10.075000,8.500000,9.710000,9.636290,18378000
2011-12-05,10.175000,10.312500,9.535000,10.025000,9.948899,18488000
2011-12-12,9.725000,9.902500,8.682500,8.785000,8.718312,19784000
2011-12-19,8.865000,9.275000,8.342500,9.237500,9.167377,20544800
2011-12-26,9.207500,9.427500,8.942500,9.112500,9.043326,7037200
2012-01-02,9.582500,9.975000,9.360000,9.887500,9.812443,7852400
2012-01-09,9.972500,10.237500,9.767500,9.962500,9.886872,7622000
2012-01-16,10.217500,11.075000,10.045000,11.037500,10.953713,8297200
2012-01-23,11.037500,11.757500,10.930000,11.412500,11.325868,11875600
2012-01-30,11.112500,12.562500,11.057500,12.475000,12.380301,12940800
2012-02-06,12.350000,13.350000,12.247500,12.940000,12.841769,17761200
2012-02-13,13.220000,13.855000,12.945000,13.632500,13.529014,28763600
2012-02-20,13.695000,14.035000,13.267500,13.945000,13.839140,8731200
2012-02-27,13.677500,14.600000,13.485000,14.332500,14.223701,14194400
2012-03-05,14.235000,14.415000,13.125000,14.335000,14.226182,13152800
2012-03-12,14.330000,15.865000,14.185000,15.720000,15.600667,12619600
2012-03-19,15.830000,16.330000,15.612500,15.870000,15.749527,9400800
2012-03-26,16.200001,16.982500,16.125000,16.375000,16.250698,8366800
2012-04-02,16.370001,17.125000,15.775000,16.242500,16.119202,6512400
2012-04-09,15.680000,16.174999,15.147500,15.257500,15.141678,9294000
2012-04-16,15.527500,15.847500,14.327500,14.382500,14.273319,12412800
2012-04-23,13.997500,15.550000,13.587500,15.412500,15.295501,17926800
2012-04-30,15.225000,15.582500,13.712500,13.730000,13.625773,14375600
2012-05-07,13.420000,13.797500,12.777500,12.980000,12.881466,20152400
2012-05-14,12.685000,13.032500,11.015000,11.045000,10.961157,15990400
2012-05-21,11.127500,12.232500,11.057500,11.532500,11.444956,11788400
2012-05-28,11.857500,12.195000,10.625000,10.632500,10.551786,9546400
2012-06-04,10.672500,12.137500,10.305000,11.950000,11.859285,10132400
2012-06-11,12.250000,12.295000,11.170000,11.957500,11.866730,8905200
2012-06-18,11.805000,12.762500,11.552500,11.982500,11.891540,11864800
2012-06-25,11.607500,12.090000,10.760000,12.090000,11.998224,9498800
2012-07-02,12.165000,12.750000,11.755000,11.982500,11.891540,3942800
2012-07-09,11.940000,12.195000,10.745000,11.495000,11.407740,4852400
2012-07-16,11.435000,12.590000,11.155000,12.067500,11.975894,4495200
2012-07-23,11.402500,12.527500,11.010000,12.490000,12.395186,5587200
2012-07-30,12.515000,13.087500,12.072500,12.987500,12.888910,3741200
2012-08-06,13.110000,13.785000,13.107500,13.772500,13.667951,2796000
2012-08-13,13.755000,14.640000,13.615000,14.625000,14.513981,3646000
2012-08-20,14.592500,14.920000,13.875000,14.347500,14.238586,3956800
2012-08-27,14.550000,14.572500,13.795000,14.205000,14.097168,2508800
2012-09-03,14.210000,15.155000,13.835000,15.070000,14.955602,3828800
2012-09-10,15.000000,15.977500,14.597500,15.765000,15.645326,4315200
2012-09-17,15.825000,16.155001,15.555000,15.845000,15.724719,2422400
2012-09-24,15.472500,15.695000,14.340000,14.800000,14.687652,3408000
2012-10-01,14.965000,15.375000,14.452500,14.882500,14.769525,3157200
2012-10-08,14.575000,14.695000,13.437500,13.525000,13.422330,3600400
2012-10-15,13.615000,14.312500,12.625000,12.625000,12.529161,4807600
2012-10-22,12.632500,12.982500,11.915000,12.230000,12.137158,4204400
2012-10-29,12.245000,12.850000,11.980000,12.202500,12.109870,2108800
2012-11-05,12.180000,12.807500,11.055000,11.262500,11.177004,4989600
2012-11-12,11.375000,11.417500,10.055000,10.575000,10.494724,4874400
2012-11-19,10.950000,11.955000,10.937500,11.950000,11.859285,4572000
2012-11-26,11.900000,12.462500,11.502500,12.270000,12.176857,4421600
2012-12-03,12.532500,12.607500,11.597500,11.825000,11.735235,2948800
2012-12-10,11.727500,12.610000,11.625000,11.715000,11.626070,4417200
2012-12-17,11.767500,12.787500,11.720000,12.235000,12.142121,4689200
2012-12-24,12.225000,12.225000,11.420000,11.480000,11.392852,2272400
2012-12-31,11.365000,13.355000,11.340000,12.865000,12.767340,5828400
2013-01-07,12.715000,13.027500,12.457500,12.987500,12.888910,2725200
2013-01-14,12.727500,12.900000,12.327500,12.702500,12.606075,4211600
2013-01-21,12.717500,13.345000,12.487500,12.592500,12.496908,4550800
2013-01-28,12.572500,13.187500,12.447500,13.125000,13.025367,4981600
2013-02-04,12.937500,13.445000,12.572500,13.347500,13.246178,4189200
2013-02-11,13.415000,13.470000,12.977500,13.142500,13.042733,2387600
2013-02-18,13.187500,13.405000,12.412500,12.995000,12.896353,3461200
2013-02-25,13.240000,13.345000,12.375000,12.955000,12.856657,3021200
2013-03-04,12.872500,13.890000,12.797500,13.762500,13.658026,2830000
2013-03-11,13.695000,14.010000,13.530000,13.820000,13.715090,1884000
2013-03-18,13.447500,14.067500,13.410000,13.750000,13.645622,2218400
2013-03-25,13.875000,13.982500,13.512500,13.890000,13.784558,905200
2013-04-01,13.847500,13.947500,12.790000,13.140000,13.040252,1752000
2013-04-08,13.140000,14.337500,13.025000,13.977500,13.871394,1644400
2013-04-15,13.800000,13.920000,12.280000,12.575000,12.479541,2176000
2013-04-22,12.707500,13.700000,12.532500,13.475000,13.372709,2022800
2013-04-29,13.592500,15.185000,13.567500,15.062500,14.948158,2980800
2013-05-06,15.170000,15.777500,15.047500,15.645000,15.526237,2614400
2013-05-13,15.585000,16.545000,15.452500,16.525000,16.399553,1762000
2013-05-20,16.355000,16.697500,15.345000,15.747500,15.627958,2089200
2013-05-27,16.252501,16.400000,15.500000,15.670000,15.551047,1219600
2013-06-03,15.727500,16.222500,14.855000,15.790000,15.670135,1616000
2013-06-10,15.950000,16.070000,14.925000,15.260000,15.144159,1610400
2013-06-17,15.600000,16.142500,13.877500,14.202500,14.094687,2621600
2013-06-24,13.795000,14.670000,13.360000,14.232500,14.124458,3275600
2013-07-01,14.697500,15.122500,14.312500,15.122500,15.007702,990800
2013-07-08,15.307500,16.250000,14.942500,16.187500,16.064619,1029200
2013-07-15,16.232500,16.575001,15.347500,15.457500,15.340159,1318000
2013-07-22,15.582500,15.927500,15.405000,15.787500,15.667655,1284400
2013-07-29,15.717500,16.555000,15.672500,16.545000,16.419405,868000
2013-08-05,16.522499,16.740000,16.052500,16.192499,16.069578,1434400
2013-08-12,16.125000,16.967501,15.850000,15.942500,15.821478,1507600
2013-08-19,15.970000,16.389999,15.642500,16.315001,16.191151,1418000
2013-08-26,16.267500,16.485001,15.160000,15.295000,15.178894,1276400
2013-09-02,15.512500,16.002501,15.150000,15.825000,15.704870,862000
2013-09-09,16.067499,16.799999,16.067499,16.547501,16.421886,1371600
2013-09-16,16.917500,17.635000,16.332500,17.025000,16.895760,1766400
2013-09-23,17.317499,17.465000,16.575001,16.692499,16.565784,2279200
2013-09-30,16.160000,16.959999,16.062500,16.660000,16.533531,2309600
2013-10-07,16.282499,16.992500,15.390000,16.969999,16.841177,2528400
2013-10-14,16.627501,18.282499,16.607500,18.250000,18.111462,2641600
2013-10-21,18.514999,18.912500,18.022499,18.687500,18.545639,2432800
2013-10-28,18.754999,19.355000,18.594999,18.975000,18.830957,1648000
2013-11-04,19.152500,19.667500,18.670000,19.315001,19.168379,1060800
2013-11-11,19.200001,20.045000,19.142500,20.045000,19.892836,1000800
2013-11-18,20.000000,20.107500,19.219999,19.737499,19.587667,1269600
2013-11-25,19.825001,20.805000,19.622499,20.687500,20.530458,645600
2013-12-02,20.645000,21.004999,20.252501,20.915001,20.756233,946000
2013-12-09,21.092501,21.212500,19.772499,19.807501,19.657137,978800
2013-12-16,20.260000,21.535000,19.475000,21.357500,21.195374,1775600
2013-12-23,21.867500,22.770000,21.865000,22.525000,22.354008,987600
2013-12-30,22.410000,22.867500,21.797501,21.852501,21.686617,1022400
2014-01-06,21.875000,22.592501,21.485001,22.000000,21.832996,1411600
2014-01-13,21.830000,23.317499,21.105000,22.797501,22.624441,2237200
2014-01-20,23.125000,23.207500,21.565001,21.565001,21.401297,1350400
2014-01-27,21.582500,21.650000,19.865000,20.980000,20.820740,2243600
2014-02-03,20.782499,21.415001,19.367500,21.387501,21.225145,2014800
2014-02-10,21.342501,23.337500,21.342501,23.197500,23.021404,1960000
2014-02-17,23.222500,23.557501,22.705000,23.000000,22.825405,1136000
2014-02-24,23.057501,23.910000,22.832500,23.487499,23.309202,1227600
2014-03-03,22.847500,24.192499,22.397499,23.857500,23.676397,1515600
2014-03-10,23.805000,24.082500,22.250000,22.307501,22.138161,1206800
2014-03-17,22.702499,24.872499,22.647499,23.910000,23.728497,1232400
2014-03-24,24.184999,24.709999,22.742500,23.302500,23.125608,1072800
2014-03-31,23.762501,25.025000,22.870001,23.017500,22.842770,1428800
2014-04-07,22.575001,24.065001,21.555000,21.667500,21.503017,1961600
2014-04-14,22.022499,23.397499,21.437500,23.067499,22.892389,1550400
2014-04-21,23.137501,23.985001,22.430000,22.562500,22.391226,1009200
2014-04-28,22.947500,24.287500,22.347500,23.807501,23.626774,1198400
